"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Predator",24,4,1,1,3,168.05264850182,352.416298869005
"Predator",25,4,1,1,3,102.123816704317,284.737896102091
"Predator",26,4,1,1,3,154.309014513995,413.90861280597
"Predator",27,4,1,1,3,193.663865837247,525.19477573516
"Predator",28,4,1,1,3,137.898668938017,399.689699251993
"Predator",29,4,1,1,3,135.332682531702,316.745413058379
"Predator",30,4,1,1,3,117.162414757552,246.628372522701
"Predator",31,4,1,1,3,166.580041027171,343.449468060909
"Conspecific",1,5,2,2,3,126.832210999127,287.584526159496
"Conspecific",2,5,2,2,3,150.577081019414,360.564789412973
"Conspecific",3,5,2,2,3,150.113727850862,373.886204186468
"Conspecific",4,5,2,2,3,152.409558304106,393.246635096098
"Conspecific",5,5,2,2,3,180.463475512928,395.674959150596
"Conspecific",6,5,2,2,3,116.841214056865,423.196154347179
"Conspecific",7,5,2,2,3,210.907700237976,446.430207688558
"Conspecific",8,5,2,2,3,147.184967482709,320.861320565155
"Conspecific",9,5,2,2,3,130.446418242116,320.642397890942
"Conspecific",10,5,2,2,3,107.113737543439,331.248628545697
"Conspecific",11,5,2,2,3,133.670381242479,422.126268408353
"Conspecific",12,5,2,2,3,192.078263063947,457.587802755714
"Conspecific",13,5,2,2,3,154.757268137424,415.342234275094
"Conspecific",14,5,2,2,3,149.415473360618,389.908054357264
"Conspecific",15,5,2,2,3,83.5886548150004,365.147702355436
"Conspecific",16,5,2,2,3,101.172529704856,332.10641613367
"Conspecific",17,5,2,2,3,134.19048820177,387.002921091669
"Conspecific",18,5,2,2,3,89.7508674456637,340.412977958569
"Conspecific",19,5,2,2,3,56.7017336122349,208.666504358137
"Conspecific",20,5,2,2,3,132.445609703137,298.610700077882
"Conspecific",21,5,2,2,3,110.057370371863,290.087929214904
"Conspecific",22,5,2,2,3,131.193892184741,257.210818468445
"Conspecific",23,5,2,2,3,165.537660817015,320.392718280436
"Conspecific",24,5,2,2,3,68.3375212980679,275.648631658754
"Conspecific",25,5,2,2,3,93.7812483605905,280.808058746832
"Conspecific",26,5,2,2,3,156.305840556399,405.03441519872
"Conspecific",27,5,2,2,3,150.423807416634,405.800509899954
"Conspecific",28,5,2,2,3,134.905158657745,390.308940227156
"Conspecific",29,5,2,2,3,124.121131317427,351.191531310287
"Conspecific",30,5,2,2,3,164.274824333336,422.621917255724
"Conspecific",31,5,2,2,3,128.330727613425,339.636990734022
