"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Combined",8,6,2,2,"Vincent",127.678505156415,429.85704433199
"Combined",9,6,2,2,"Vincent",104.924722086785,306.708807367618
"Combined",10,6,2,2,"Vincent",136.295726057451,385.229179918254
"Combined",11,6,2,2,"Vincent",100.137550291265,339.443692939586
"Combined",12,6,2,2,"Vincent",104.166935491528,259.934845306781
"Combined",13,6,2,2,"Vincent",183.187638107966,392.007764942562
"Combined",14,6,2,2,"Vincent",177.869943779807,406.121025429254
"Combined",15,6,2,2,"Vincent",169.632555216041,402.079474444807
"Combined",16,6,2,2,"Vincent",94.1171592347909,319.050216487503
"Combined",17,6,2,2,"Vincent",159.026335112267,366.171853961122
"Combined",18,6,2,2,"Vincent",93.1397954056985,390.328865379456
"Combined",19,6,2,2,"Vincent",144.732016175639,455.028259730359
"Combined",20,6,2,2,"Vincent",151.825270809983,396.05151835059
"Combined",21,6,2,2,"Vincent",89.7112367392242,431.639720999098
"Predator",1,7,2,2,"Vincent",129.113357978045,439.409277366341
"Predator",2,7,2,2,"Vincent",136.198664231149,352.824221283488
"Predator",3,7,2,2,"Vincent",109.012301449316,371.451387590169
"Predator",4,7,2,2,"Vincent",173.977809492895,429.700246069485
"Predator",5,7,2,2,"Vincent",135.905187927708,379.553341339067
"Predator",6,7,2,2,"Vincent",122.109587190548,335.755768358424
"Predator",7,7,2,2,"Vincent",117.557573381983,405.556814222537
"Predator",8,7,2,2,"Vincent",166.081827492996,448.399266199799
"Predator",9,7,2,2,"Vincent",131.762718543551,325.148026647296
"Predator",10,7,2,2,"Vincent",95.9380331574995,236.634456416508
"Predator",11,7,2,2,"Vincent",156.947170305082,353.218744100086
"Predator",12,7,2,2,"Vincent",82.4286776131428,320.394164924012
"Predator",13,7,2,2,"Vincent",82.5480581725235,334.99293874229
"Predator",14,7,2,2,"Vincent",153.100972560858,375.3490018896
"Predator",15,7,2,2,"Vincent",117.956970606582,367.426747393296
"Predator",16,7,2,2,"Vincent",176.61874970038,388.668703464579
"Predator",17,7,2,2,"Vincent",165.266264182069,459.274451536518
"Predator",18,7,2,2,"Vincent",189.681807142338,406.153878614089
"Predator",19,7,2,2,"Vincent",136.184341573629,419.628491929902
"Predator",20,7,2,2,"Vincent",101.355686328599,401.245884174818
"Predator",21,7,2,2,"Vincent",148.234342840371,387.764982427121
"Control",1,8,2,2,"Vincent",109.113569669698,412.295547905214
"Control",2,8,2,2,"Vincent",106.858919162901,345.695854366094
"Control",3,8,2,2,"Vincent",92.2611039748595,405.788575958709
"Control",4,8,2,2,"Vincent",127.489631381919,394.581136404658
"Control",5,8,2,2,"Vincent",133.078395821776,329.888637623351
"Control",6,8,2,2,"Vincent",112.330933887849,354.292839382795
"Control",7,8,2,2,"Vincent",176.761348449159,383.30364067241
"Control",8,8,2,2,"Vincent",166.067031895178,363.232081368025
"Control",9,8,2,2,"Vincent",156.020998199691,420.089243644311
"Control",10,8,2,2,"Vincent",131.750594862068,361.265170381129
"Control",11,8,2,2,"Vincent",123.999018671689,490.542573590064
"Control",12,8,2,2,"Vincent",129.114348709041,368.760808910296
"Control",13,8,2,2,"Vincent",156.317474818767,386.328079383378
"Control",14,8,2,2,"Vincent",126.797035425781,504.922526623409
"Control",15,8,2,2,"Vincent",112.8007718534,250.773973018721
"Control",16,8,2,2,"Vincent",141.832222635123,327.321412685306
"Control",17,8,2,2,"Vincent",168.621377725743,381.766893245169
"Control",18,8,2,2,"Vincent",173.287694633912,435.278588466301
"Control",19,8,2,2,"Vincent",99.6338507623301,383.370650399606
"Control",20,8,2,2,"Vincent",114.905928850756,464.793234156564
"Control",21,8,2,2,"Vincent",124.159119760777,378.264973859983
"Predator",1,9,3,3,"Vincent",167.184908288564,398.194438299449
"Predator",2,9,3,3,"Vincent",147.755465176508,334.245632926588
"Predator",3,9,3,3,"Vincent",145.345373065758,383.859492589662
"Predator",4,9,3,3,"Vincent",167.790255104617,443.0420735238
"Predator",5,9,3,3,"Vincent",191.496594879783,527.466761247174
"Predator",6,9,3,3,"Vincent",95.4323889240968,521.017002244298
"Predator",7,9,3,3,"Vincent",102.195664888355,408.335103851531
"Predator",8,9,3,3,"Vincent",129.287013578996,405.622564237522
"Predator",9,9,3,3,"Vincent",140.123727728812,419.040336336476
"Predator",10,9,3,3,"Vincent",119.867910414447,280.603389859176
"Predator",11,9,3,3,"Vincent",185.129388859697,397.312616276213
"Predator",12,9,3,3,"Vincent",109.590089527462,412.164303261807
"Predator",13,9,3,3,"Vincent",137.842657658587,402.785261986134
"Predator",14,9,3,3,"Vincent",115.762023891752,386.776825165633
"Predator",15,9,3,3,"Vincent",108.47013929813,404.590858554183
"Predator",16,9,3,3,"Vincent",104.942029425417,257.808256470612
"Predator",17,9,3,3,"Vincent",118.397182177423,415.01779652785
"Predator",18,9,3,3,"Vincent",232.537821760692,462.956090501922
"Predator",19,9,3,3,"Vincent",95.6763080963838,358.541656921636
"Predator",20,9,3,3,"Vincent",110.93757657265,459.109179199723
"Predator",21,9,3,3,"Vincent",169.839199219327,376.870091382168
"Control",1,10,3,3,"Vincent",96.4371563502558,255.218817788853
"Control",2,10,3,3,"Vincent",155.557389199912,317.663859772568
"Control",3,10,3,3,"Vincent",129.870242580451,446.864695739285
"Control",4,10,3,3,"Vincent",118.372435729768,488.278879504374
"Control",5,10,3,3,"Vincent",165.875838812069,460.121223430207
"Control",6,10,3,3,"Vincent",101.411802365008,353.337942262167
"Control",7,10,3,3,"Vincent",144.868149136844,366.568228995895
"Control",8,10,3,3,"Vincent",139.173580655696,363.826145319509
"Control",9,10,3,3,"Vincent",158.95541852089,407.342190568573
"Control",10,10,3,3,"Vincent",108.843654910821,489.501105710816
"Control",11,10,3,3,"Vincent",102.827235354859,377.103309490456
"Control",12,10,3,3,"Vincent",162.067497389748,379.419417402711
"Control",13,10,3,3,"Vincent",136.196528956813,473.839866564675
"Control",14,10,3,3,"Vincent",152.214118287944,444.465827207959
"Control",15,10,3,3,"Vincent",115.726238114754,467.436435062001
"Control",16,10,3,3,"Vincent",95.6157562580206,350.418390199896
"Control",17,10,3,3,"Vincent",137.633131838165,428.859211410476
"Control",18,10,3,3,"Vincent",156.63106537263,385.365742981591
"Control",19,10,3,3,"Vincent",124.608769700836,327.022439501498
"Control",20,10,3,3,"Vincent",79.6082452438425,335.041992864199
"Control",21,10,3,3,"Vincent",128.036717577129,320.213334982817
"Conspecific",1,11,3,3,"Vincent",140.548926349191,409.03338635236
"Conspecific",2,11,3,3,"Vincent",113.101382197872,313.829785062238
"Conspecific",3,11,3,3,"Vincent",164.079392400991,429.368216980133
"Conspecific",4,11,3,3,"Vincent",143.033509255159,360.939749884948
"Conspecific",5,11,3,3,"Vincent",106.47048244291,355.479697877613
"Conspecific",6,11,3,3,"Vincent",156.969388067742,449.497114637748
"Conspecific",7,11,3,3,"Vincent",149.631548581619,337.318620746566
"Conspecific",8,11,3,3,"Vincent",135.775533430617,430.975481064662
"Conspecific",9,11,3,3,"Vincent",128.398335369336,366.381239748409
"Conspecific",10,11,3,3,"Vincent",103.382950856045,342.566345267232
"Conspecific",11,11,3,3,"Vincent",92.3419564843761,269.072115429944
"Conspecific",12,11,3,3,"Vincent",108.292972516403,289.842437088541
"Conspecific",13,11,3,3,"Vincent",202.980924132504,381.731011160935
"Conspecific",14,11,3,3,"Vincent",158.311758971233,373.113047614589
"Conspecific",15,11,3,3,"Vincent",144.445650436877,300.026474091629
"Conspecific",16,11,3,3,"Vincent",146.789912636163,307.544657859815
"Conspecific",17,11,3,3,"Vincent",152.656817040305,401.144130068335
"Conspecific",18,11,3,3,"Vincent",108.011047504489,366.017297265516
"Conspecific",19,11,3,3,"Vincent",164.990593575436,378.731298378119
"Conspecific",20,11,3,3,"Vincent",109.305885893531,345.523636679188
"Conspecific",21,11,3,3,"Vincent",130.446094737143,345.257983030263
"Combined",1,12,3,3,"Vincent",175.82960701745,469.627492020379
